# id	kind	spec	what a survivor would mean
store-stale-override-kept	code	settings	a key rotated in .env keeps being sent from the browser
store-v1-blob-silent	code	settings	an old settings blob is dropped without telling anyone
store-override-ignored	code	settings	typing a key into the knobs silently does nothing
store-revert-noop	code	settings	the way back from an override does not work
diagnose-401-blames-schema	code	settings	a refused key is reported as a missing schema again (the original bug)
diagnose-unreachable-blames-schema	code	settings	an unreachable gateway is reported as a missing schema
signin-never-diagnosed	code	settings	a failed sign-in never says why, as on the day the bench went red
client-sends-no-key	code	smoke	GETs go out without the anon key and nothing notices
cors-hostile-accepts-anything	code	cors	the hostile origin would pass the probe even if the gateway let it in
realtime-any-event-order	code	together	realtime.changes goes green without the insert/update/delete it claims to see
limits-429-optional	code	smoke	rate limiting could disappear from the gateway and the bench stays green
everything-skips	code	smoke	every probe reports a skip and the suite still passes -- a vacuous green
env-dead-anon-key	env	smoke	the bench would stay green against a gateway that refuses it
env-wrong-gateway	env	smoke	the bench would stay green pointed at nothing
env-no-realtime-token	env	together	presence and broadcast quietly skip instead of failing
env-hostile-page	env	smoke	probes pass from an origin the gateway never allowed
